排名,姓名,姓名（英文）,财富（亿美元）,财富来源,国家和地区
1990,胡里奥·马里奥·桑托·多明戈三世,Julio Mario Santo Domingo III,10,啤酒,美国
1990,杜厦,Du Sha,10,大型超市,中国内地
1990,RJ.斯卡林格,RJ Scaringe,10,电动汽车,美国
1990,卫斯理·艾登斯,Wesley Edens,10,投资,美国
1990,迪特尔·施纳贝尔,Dieter Schnabel,10,化工,德国
1990,范敏华,Fan Minhua,10,医药,中国内地
1990,杰拉尔德·施瓦茨,Gerald Schwartz,10,金融,加拿大
1990,方洪波,Fang Hongbo,10,家用电器,中国内地
1990,尼尔贾·赛提,Neerja Sethi,10,IT咨询，外包,美国
1990,杰弗·格灵,Jeff Green,10,数字广告,美国
1990,米哈伊尔·肖科夫,Mikhail Shelkov,10,钛,俄罗斯
1990,大卫·豪尔,David Hall,10,汽车科技,美国
1990,艾伯特·席加鲍狄诺夫,Albert Shigaboutdinov,10,"炼油厂, 化工",俄罗斯
1990,盖瑞·哈维,Gerry Harvey,10,零售,澳大利亚
1990,斯科特·史密斯,Scott Smith,10,云计算,美国
1990,加洛斯拉夫·哈斯卡克,Jaroslav Hascak,10,投资,斯洛伐克
1990,特里·斯诺,Terry Snow,10,"机场, 房地产",澳大利亚
1990,Ho Hung Anh,Ho Hung Anh,10,"消费品, 银行业",越南
1990,阿克希尔·斯道科斯基,Axel Stawski,10,房地产,美国
1990,弗朗西斯·奥尔代,Francis Holder,10,面包房,法国
1990,谢尔盖·斯图恩尼科夫,Sergei Studennikov,10,"酒类商店, 超市",俄罗斯
1990,许英寅,Hur Young-in,10,"面包房, 快餐",韩国
1990,苏汝波,Su Rubo,10,房地产,中国内地
1990,Jay-Z,Jay-Z,10,多元化经营,美国
1990,鲁斯捷姆·萨尔蒂夫,Rustem Sulteev,10,"炼油厂, 化工",俄罗斯
1990,凯莉·詹娜,Kylie Jenner,10,化妆品,美国
1990,唐岩,Tang Yan,10,社交媒体,中国内地
1990,金惠明,Jin Huiming,10,房地产,中国内地
1990,陶悦群,Tao Yuequn,10,隐形眼镜,中国内地
1990,大卫·卡比勒,David Kabiller,10,投资管理,美国
1990,卡尔·托马,Carl Thoma,10,投资,美国
1990,莫里斯·卡恩,Morris Kahn,10,软件,以色列
1990,劳利·蒂施,Laurie Tisch,10,"保险, NFL球队",美国
1990,乔纳斯·坎普拉德,Jonas Kamprad,10,宜家,瑞典
1990,史蒂芬·蒂施,Steven Tisch,10,保险,美国
1990,马赛亚斯·坎普拉德,Mathias Kamprad,10,宜家,瑞典
1990,托尔斯滕·托勒尔,Torsten Toeller,10,宠物食品,德国
1990,彼得·坎普拉德,Peter Kamprad,10,宜家,瑞典
1990,雅什利·乌拉尔,Jayshree Ullal,10,计算机网络,美国
1990,柯桂华,Ke Guihua,10,汽车零件,中国内地
1990,皮耶特·冯·德·多斯,Pieter van der Does,10,支付软件,荷兰
1990,Bom Kim,Bom Kim,10,网络零售,美国
1990,瓦迪斯·瓦迪诺亚尼斯及家族,Vardis Vardinoyannis & family,10,油气,希腊
1990,阿齐兹 ·阿赫努什及家族,Aziz Akhannouch & family,10,"石油, 多元化经营",摩洛哥
1990,谢尔盖·科列斯尼科夫,Sergei Kolesnikov,10,建材,俄罗斯
1990,克里斯·瓦林,Chris Wallin,10,矿业,澳大利亚
1990,阿尔贝托·阿尔科塞尔,Alberto Alcocer,10,投资,西班牙
1990,伊戈尔·克罗莫伊斯基,Ihor Kolomoyskyy,10,"银行业, 投资",乌克兰
1990,王苗通,Wang Miaotong,10,汽车零件,中国内地
1990,伊萨克·安迪可及家族,Isak Andic & family,10,时尚零售,西班牙
1990,伊戈尔·库得亚辛,Igor Kudryashkin,10,冶金,俄罗斯
1990,王文默,Wang Wenmo,10,运动服装,中国内地
1990,罗伯托·安赫利尼·罗西,Patricia Angelini Rossi,10,"林业, 矿业",智利
1990,赖世贤,Lai Shixian,10,运动服装,中国内地
1990,王言卿,Wang Yanqing,10,碳纤维产品,中国内地
1990,埃德蒙·安森,Edmund Ansin,10,电视,美国
1990,林龙安及家族,Lam Lung On & family,10,房地产,中国内地
1990,王耀海,Wang Yaohai,10,照明,中国内地
1990,布莱恩·阿姆斯特朗,Brian Armstrong,10,加密货币,美国
1990,刘銮鸿,Thomas Lau,10,百货商场,中国香港
1990,桑迪·威尔,Sandy Weill,10,花旗集团,美国
1990,塔琪亚娜·巴卡楚克,Tatyana Bakalchuk,10,电商,俄罗斯
1990,李俊昊,Lee Joon-ho,10,网络游戏,韩国
1990,文一波及家族,Wen Yibo & family,10,废水处理,中国内地
1990,阿卡·贝克里,Achal Bakeri,10,空气制冷,印度
1990,李尚革,Lee Sang-hyuk,10,投资,韩国
1990,黄朝阳,Wong Chiu Yeung,10,房地产,中国内地
1990,安妮·博富尔,Anne Beaufour,10,医药,法国
1990,李仙玉及家族,Li Xianyu & family,10,医药,中国内地
1990,黄康境,Wong Hong King,10,房地产,中国内地
1990,昂利·博富尔,Henri Beaufour,10,医药,法国
1990,约翰·刘,John Liew,10,投资管理,美国
1990,吴崇仪,Wu Chung-yi,10,制造业,中国台湾
1990,林登·布鲁尔,Linden Blue,10,防务,美国
1990,林定强及家族,Lin Dingqiang & family,10,房地产,中国香港
1990,徐其明,Xu Qiming,10,"食品, 艺术品",中国内地
1990,安娜·玛利亚·布劳恩,Anna Maria Braun,10,医疗技术,德国
1990,卢荣富,Lu Rongfu,10,电信,中国内地
1990,徐万茂,Xu Wanmao,10,教育,中国内地
1990,乔安娜·布劳恩,Johanna Braun,10,医疗技术,德国
1990,洛厄尔·米尔肯,Lowell Milken,10,投资,美国
1990,瓦蒂姆·雅库宁,Vadim Yakunin,10,药店,俄罗斯
1990,卡尔·弗里德里希·布劳恩,Karl Friedrich Braun,10,医疗技术,德国
1990,倪祖根,Ni Zugen,10,电器,中国内地
1990,杨浩涌,Mark Haoyong Yang,10,电商,中国内地
1990,路德维希·西奥多·布劳恩,Ludwig Theodor Braun,10,医疗技术,德国
1990,西蒙·尼克森,Simon Nixon,10,比价网站,英国
1990,叶琼玖,Ye Qiongjiu,10,软件,中国内地
1990,爱德华·卡米尼亚克,Edouard Carmignac,10,资产管理,法国
1990,朴炫柱,Park Hyeon-joo,10,共同基金,韩国
1990,俞其兵及家族,Yu Qibing & family,10,玻璃,中国内地
1990,陈卓林,Chen Zhuolin,10,房地产,中国内地
1990,大卫·保罗,David Paul,10,医疗器械,美国
1990,张玉祥及家族,Zhang Yuxiang & family,10,服装,中国内地
1990,爱德华·楚克勒波夫,Eduard Chukhlebov,10,冶金,俄罗斯
1990,安东尼奥·波卡希,Antonio Percassi,10,"房地产, 多元化经营",意大利
1990,赵鸿飞,Zhao Hongfei,10,软件,中国内地
1990,爱德华多·许寰哥,Eduardo Cojuangco,10,"食品, 饮料",菲律宾
